Index,Title,Primary Subject,Secondary Subject,Inscription,Location,Date erected,Erected by,Notes,Count
40,Connecting With Nature,Colonial/settler,,"What is it like to live in balance with nature?
Every action impacts the environment in some way. Thoughtful design choices can help reduce negative human influences on the landscape. In planning this trail, choices were made to incorporate local, sustainable materials and natural design features. Native plantings and habitat restorations also contribute to a healthy landscape.

Think Locally!
Local, natural building materials are a great option for design projects. They are often less expensive and help reduce the impact on the environment because less processing and transporting is required. Like the Parkers, who built their home and farm buildings with wood from local forests, local materials were integrated into the design of this trail.

Check out these local building materials used in Parker Mill County Park!
Foundations of the grist and cidermill were built with stones found the Parker's on property.
We didn't have to look farther than the ""Mitten"" to find limestone from Onaway for use in the green roof pavilion.
Benches were constructed from dead ash trees found on site. Many boulders used along thistrail were from the property, too.


Nature inspired the design of this pavilion roof! Notice the curving shape of the fungus?

A diverse community of native plants once thrived on the land before foreign plant species were introduced. Many of these non-native plants are invasive species that out-compete the native plants and take over the landscape. To control their dominance, invasive species are removed manually, through prescribed burns, and with careful use of herbicides so native plants can flourish here once again.

Helen and Norris Post have always had a connection to nature and, in particular, this specific area of Washtenaw County. As longtime Ann Arbor residents, they have supported and enjoyed the wide variety of parks, paths, and places available to discover and explore. Decades ago, Norris's father, Hoyt, often took walks along the creeks and trails in the area, and was inspired by its incredible beauty. Norris inherited his father's passion and interest in the outdoors, which he expressed through his gift for art, drawing, and painting.

You will see some reproductions of his artwork embedded in the piers of the pavilion named to honor him. Today, artists and nature lovers of all kinds are just some of those who continue to be inspired by the gorgeous surroundings and unique buildings of Parker Mill County Park. Take a stroll and see what inspires you!
","42° 16.488′ N, 83° 40.093′ W",N/A,Parker Mill County Park Washtenaw County Parks and Recreation Commission,,1
41,A Corner Landmark on Huron and North Fourth,Colonial/settler,,"The Hamilton Block, later known as the Cornwell Building, was built in 1882 across from the Cook House Hotel. The first floor housed the Postal Telegraph Cable Co. in the 1890s, a bowling alley for a time, and later the Cornwell Coal Co. When Register Publishing Co. occupied space, it claimed to employ ""more hands than all other printing establishments in Ann Arbor combined."" Joe Parker opened a popular cafe there during Prohibition. For many years the third floor was a drill hall for Company A of the Michigan National Guard. It later housed an I.O.O.F. temple and a Greek Orthodox church. The building was torn down to make way for a gas station in 1936","42° 16.936′ N, 83° 44.894′ W",N/A,N/A,,1
42,The Corners of South University and East University Avenues,Colonial/settler,,"In the 1898 panorama above, campus buildings had not yet reached this corner. The School of Engineering and its shops can be seen in the distance. Cousins and Hall greenhouses and florist shop occupied most of the first block across South University, which was then an unpaved boulevard. Houses lined the avenues surrounding campus as well as both sides of South University all the way to Washtenaw Avenue. (See 1880 birdseye at right.)

Over the next 25 years, the neighborhood changed dramatically as buildings filled the original 40-acre campus and expanded beyond. In 1904 the new Engineering Building with a pedestrian archway was added at this end of the diagonal walk. Houses on South University were replaced by Martha Cook dormitory for women in 1915 and by the Law Quadrangle in 1924. The site of the greenhouses became the athletic field for University High School (later the School of Education), built on East University in 1924. Ann Arbor's second apartment house, the Anberay, was built across the street the year before.

John MacGregor's grocery, the first commercial structure on this block, was built on this corner in 1908. Eight years later shops lined both sides of South University as far as the next corner. Houses on East University (far right in the panorama) were replaced in 1923 by the East Engineering Building","42° 16.52′ N, 83° 44.142′ W",N/A,Ann Arbor Historic District Commission,,1
43,Courthouse Square: A Center of Civic Life,Colonial/settler,,"Citizens from town, country, and university gathered on Courthouse Square for important civic events. In 1861, friends of the Union assembled there to hear reports of the Confederate army attack on Fort Sumter. On April 15, university president Henry Tappan and other prominent townspeople went to the old Courthouse to adddress citizens about the crisis. The meeting overflowed across the square into the street. Resolutions were passed supporting President Lincoln and establishing a committee to assist in organizing military companies.

Four Ann Arbor military units were quickly formed. The ""Silver Greys,"" a Home Guard unit made up of men over age forty-five, included Tappan and the town's most illustrious citizens.","42° 16.899′ N, 83° 44.901′ W",N/A,Ann Arbor Historical Foundation,,1
44,David McCollum's House,Colonial/settler,,"David T. McCollum was thirty-three years old when he arrived in Ann Arbor from New York State in 1832 with a wife and five children.. The following spring he became the bookkeeper for Anson Brown & Co. McCollum was a leader in the Methodist Church, a strong abolitionist, and a one-time candidate on the Liberty Party ticket. He was also Register of Deeds and Treasurer of Washtenaw County. The family lived in a home on Broadway before his first wife died in 1840.

In 1842, after a second marriage to former school teacher Sarah Ann Berry from Massachusetts, McCollum bought the 1838 Sinclair house at 1223 Pontiac. During those early years McCollum added a separate kitchen at the rear and acquired adjoining lots with a tenant house, a woodshed, and a large barn to accommodate four cows. Six children were born to that second marriage.

McCollum was a 49er and employed his financial skills as clerk for a large Ann Arbor group in the rush across the continent to the California gold fields. For many years McCollum and prosperous Pontiac Trail neighbor and paper mill owner Jonathan H. Lund operated a store on Broadway near Paid Advertisement
Canal Street. McCollum made frequent trips to eastern cities to buy stock for the store-by railroad to Detroit, next by boat across Lake Erie, and then by canal boat, stage, and railroad.

McCollum died in 1880 and was buried in Fairview Cemetery in sight of the home he loved. Members of his family continued to live in the house until 1925.
Poet Robert Frost lived in the house while he was Artist-in-Residence at the U-M in 1925-26 (left). It is believed that while there he wrote two of his best poems: ""Spring Pools"" and ""Acquainted with the Night."" In the next to the last stanza he refers to ""One luminary clock against the sky”-thought to be the clock tower on the old county courthouse which would have been visible from north of the Huron River in the 1920s.

The architecture of McCollum's home was much admired by Professor Emil Lorch, head of the U-M College of Architecture. In 1936 Henry Ford dismantled the house and moved it to Greenfield Village in Dearborn, Michigan. It was restored to its original appearance and can still be visited as the Robert Frost House.","42° 17.305′ N, 83° 44.108′ W",2014,University of Michigan,,1
45,"The David R. Byrd Center 
Pittsfield Township, Michigan",Colonial/settler,African Americans/Enslaved/Freed Blacks/etc.,"1820 General Land Office at Detroit granted west half of Section Eight, Twp. E, South of Range Six East to Ralph Updike 

c. 1830-1849 House and farm buildings constructed 

1856-1935 Farm owned by the Wilsey and Sperry families 

1935 Land purchased by UM professor J. Raleigh Nelson who named the property ""Sunny Pastures"" 

1975 Land purchased from Nelson family by David and Letitia Byrd 

1987 David Byrd died on May 15 and the property was subsequently restored by his widow, Letitia Byrd, as The David R. Byrd Center, a meeting place housing the offices of the African American Cultural and Historical Museum of Washtenaw County","42° 14.387′ N, 83° 45.538′ W",N/A,Washtenaw County Historic District Commission,,1
46,Delhi Bridge,Colonial/settler,,"Delhi Mills was founded in 1831 by Jacob Dorms, who built a sawmill at the rapids. By the mid to late 1800s, this area was a thriving village with two flour mills, a woolen mill, a saw mill and a plaster mill. Remains of mill foundations are still visible to the west of the bridge on both sides of the river. Many homes in Delhi Mills date from this 19th century hamlet. 

The Delhi Bridge is one of a few drive-through truss wrought iron bridges in Michigan that is still in use. Another is the Foster Road Bridge, just a short drive to the east along Huron River Drive. Bridges are usually designed with the trusses placed below the bridge deck. This bridge is special because the trusses are above the bridge deck. When the Delhi Bridge was originally erected here in 1888 - 1890, the surrounding community of Delhi Mills was a booming mill town, with the coming of electricity, the mills closed. 

On June 6, 1917, a tornado swept through Delhi Mills, twisting the bridge, lifting if off its abutments and throwing it onto the river. The bridge was badly damaged. In 1918, the bridge was re-erected. It is not known whether the original bridge was repaired or a smilier bridge of the same vintage was erected.","42° 20.01′ N, 83° 48.57′ W",N/A,N/A,,1
47,Delta Sigma Delta,Colonial/settler,,"November 15, 1982 
This Plaque Commemorates The 
One Hundredth Anniversary 
Of The Founding Of 
Delta Sigma Delta 
International Dental Fraternity 
In Ann Arbor, Michigan 
November 15, 1882 

Ezra Lincoln Kern, Lyndal Llewellyn Davis, Louis James Mitchell, Louis Manning James, Clarence James Hand, Donald Douglas Magill, Charles William Howard, William Cleland, Francis Eugene Cassidy, Charles Phillip Weinrich 

These Men Were The Charter Members","42° 16.332′ N, 83° 43.783′ W.",1982,Delta Sigma Delta,,1
48,"Delta Upsilon Fraternity 
",Colonial/settler,,"Delta Upsilon 
Fraternity 
Built 1903","42° 16.354′ N, 83° 43.921′ W",1991,"Bureau of History, Michigan Department of State",,1
49,The Denison Archway,Colonial/settler,,"So named in honor of him who suggested the idea of constructing it Professor Charles Simeon Denison, for forty-two years teacher of stereotomy, mechanism, and drawing in the University of Michigan. 

This tablet is placed here by his colleagues and students in abiding memory of his lovable character and gentle manhood.","42° 16.527′ N, 83° 44.181′ W",N/A,Family and friends of Charles Dension,,1
50,Departing Heroes and the Home Front,Colonial/settler,,"Little more than four weeks after the sinking of the battleship Maine, volunteers in Company A of the Michigan National Guard posed on the courthouse steps on April 26, 1898, before leaving to fight in the Spanish-American War. 

Although Company A saw no combat in Cuba, they were nonetheless greeted as heroes on their return to Ann Arbor in May 1899. Citizens raised $3000 toward the purchase of a local armory as a gift to them, and city council appropriated $300 to buy medals for all who had served in the war. 

Like virtually every other American city, town, and village, Ann Arbor sponsored recycling campaigns during World War II to gather valuable materials for the war effort. Rubber tires, motor oil, and metal were just some of the materials gathered. 

Months before the formal entry of the U.S. into the war in 1941, bins were erected on Courthouse Square for the collection of aluminum, a critically important resource in industrial war production","42° 16.899′ N, 83° 44.901′ W",N/A,Ann Arbor Historical Foundation,,1
51,"The Detroit Observatory 
1854",Colonial/settler,,"The Detroit Observatory, named in honor of major donors from Detroit, was the centerpiece of President Henry Philip Tappan's efforts to transform the University of Michigan into one of the first research institutions in the United States. Teppan recruited Franz Brünnow, a German astronomer, as the first director of this early scientific laboratory. The building stands today essentially as it was 1854. The dome turns manually by means of a rope pulley, and the original astronomical instruments remain intact and operational, including the meridian circle and the refracting telescopes, which in their day were among the largest in the world. In 1973, the Detroit Observatory was listed in the National Register of Historic Places for its significance in science, education, and architecture.","42° 16.915′ N, 83° 43.877' W",2004,History and Tradition Committee,,1
52,Dixboro United Methodist Church,Colonial/settler,,"In its earliest years, the Village of Dixboro was served by ""circuit-riding” preachers. The infrequency of these visits and the ""occurrence of carousing in the local taverns” led many of the village residents to voice the need for a local church. In September 1857, Ira W. Donaldson, an Ann Arbor minister, started revival meetings in Dixboro. These meetings were well attended and ""society took a different tone.” A meeting was called on December 10, 1857, ""for the purpose of taking into consideration the location and form of a church to be erected in said place.” The Church was built in 1858 and has served the community since that time as a focus for worship and fellowship.","42° 18.796′ N, 83° 39.361′ W",N/A,Washtenaw County Historic Distric Commission,,1
53,Douglass Houghton,Colonial/settler,,"In Memoriam Douglass Houghton, M.D. professor of Chemistry, Mineralogy and Geology in this University and head of the geological survey in this state. Learned in science, zealous in action while fearlessly engaged in public work, he perished by the overturning of a boat in Lake Superior. Drowned, never, alas, again to be seen until the lake shall give up its dead. He died on October 13, 1849 at the age of 36. The Regents of the University of Michigan have had this monument erected.","42° 16.572′ N, 83° 44.26′ W",N/A,The Regents of the University of Michigan,,1
54,Downtown Movie Theaters,Colonial/settler,,"When the Orpheum opened in 1913 at 326 South Main Street, the event drew such a crowd that people had to be turned away. Constructed by clothier J. Fred Wuerth, it was the first theater in town built to show movies. Earlier, one-reel films were shown in storefront nickelodeons like the Star at 118 East Washington Street (lower right). Advertised as ""family entertainment,"" many shows included live acts. 

In 1917, behind this clothing shop next door to the Orpheum, Wuerth built a second theater. Movie-goers entered below Wuerth's Main Street marquee (shown above in the 1940s) and passed through a two-story, skylit arcade that led to the theater. The L-shaped plan allowed the two theaters to share backstage space and a single theater organ. 

In early 1929 the Wuerth was the first local theater to convert from silent films to ""talkies."" While the Orpheum specialized in more high-toned productions, the smaller, cozier Wuerth showed children's serialized matinees and gave away china to attract viewers. After both theaters closed in 1957, the interior spaces were remodeled for new uses. By 1927 Wuerth's menswear business had become Fiegel's. It survived until 1997.","42° 16.78′ N, 83° 44.902′ W",N/A,Ann Arbor Historical Foundation,,1
55,Dry Goods,Colonial/settler,,"Dry goods were sold on this corner for over 120 years. In 1867 Philip Bach moved his store to this new business block selling fabric, cloaks, blankets, linens, and notions. Ann Arbor once supported as many as fifteen stores selling dry goods. Before these shops began to carry ready-made items, most clothing, bed sheets, and household linens where made at home. Dressmakers, milliners, and tailors provided custom clothing. When Bruno St. James purchased the store in 1895, he employed Bach’s young bookkeeper, Bertha Muehlig. Loved by her customers and employees, she owned and ran the business from 1911 until her death in 1955. Muehlig’s specialized in old-fashioned, hard-to-find items like “Tillie Open Bottom” (women’s long underwear). William Goodyear, St. James former partner, ran another dry goods business nearby. By the 1950s, Goodyear’s had expanded next to Muehlig’s to become downtown’s largest department store.","42° 16.835′ N, 83° 44.926′ W",N/A,Ann Arbor Historical Foundation,,1
56,Earhart Manor,Colonial/settler,,"Michigan pioneer Elnathan Botsford settled this site in 1825. Harry Boyd Earhart of Detroit, president of the White Star Refining Corporation, purchased the farm in 1917 and named it ""The Meadows."" The Olmsted Brothers, nationally known landscape architects from Brookline, Massachusetts, planned and directed the development of the grounds, as well as the siting of the house. Many landscape elements of the original plan survive. Smith, Hinchman and Grylls of Detroit designed the house in the French Manor style. A significant feature of the manor, completed in 1936, is the Pewabic tile created for the Earharts by Mary Chase Perry Stratton. Harry and Carrie Earhart were noted philanthropists and patrons of the fine and performing arts. 

The Lutheran Church-Missouri Synod purchased 234 acres of the Harry and Carrie Earhart estate in 1961 to construct the campus of Concordia College. The four-year liberal arts college opened in 1963. The manor initially served as a student activity center and housed faculty offices. In 1997 a rehabilitation project was undertaken to restore the architectural features of the house and adapt it for 
use as the Otto G. Schmid Center. Although converted to offices, much of the original fabric of the house remains intact, including decorative plaster, hardware, crystal chandeliers, and the Pewabic tile elements: two ""medieval"" family crests, a metallic-glazed tile fountain, and the master bathroom.","42° 16.422′ N, 83° 40.869′ W",1999,Michigan Historical Center and Michigan Department of State,,1
57,Early Power and Transportation,Colonial/settler,,"From the hill above Plank Road in the 1870s (North Main Street today), you could look back toward where you are now standing and view sources of Ann Arbor’s early power and transportation. In the panorama find your location, along with the dam, the millpond, and the millrace. Beginning in 1830, they supplied power for Lower town’s mills. Sinclair’s Mill (large white building left above) stood to your right. 

After 1839, when the railroad reached Ann Arbor from Detroit, paper, wool, flour, and feed from the mills, as well as livestock held in pens in the foreground, could be shipped to eastern markets. Coal arrived by rail for the Ann Arbor Gas company, which built its first works in 1858 across from the old depot. Lumber arrived for Selleck Wood’s and other lumberyards and planning mills nearby. 
Ann Arbor’s second railroad, the Toledo and Ann Arbor, built a wood trestle above the dam in 1881 to extend its line north across the river. A flimsy metal trestle replaced it by 1894 (upper right photo). In that photo you can see the Michigan Central Railroad had a locomotive turntable near the bridge on the right. The building on the millpond, with the long dock, was a popular boat livery. In January 1904 the metal trestle collapsed and was replaced by a sturdier trestle with massive concrete piers. 

In 1914 the Edison Company replaced Argo Dam (lower right photo) and rebuilt the millrace as part of a plan to generate electric power from this and eight other dams along the Huron River.","42° 17.316′ N, 83° 44.423′ W",N/A,N/A,,1
58,An Early Township Blacksmith:Philo Alanson Pritchard (1803-1853),Colonial/settler,,"About 1840, Philo Alanson Pritchard settled on 10 acres of land north of Morgan Road and about 1/4 mile west of this intersection. Here, he constructed a house as well as a blacksmith shop, which he operated for more than 10 years. 

Good blacksmiths like Philo Alanson Pritchard were essential to the success of a farming community. He shod horses and oxen and made and repaired farm equipment and household items such as hoes and kitchen pots. Philo's blacksmith shop would have been a simple wood structure, with little light except for that provided by a wide doorway at the front of the shop. The blacksmith shop was dark for Philo to better see the color of the heated iron or steel and judge when the metal was hot enough to be worked and formed. The shop contained a forge and bellows as well as a heavy anvil. 

Philo Alanson Pritchard married Eliza Jane Woodard, the daughter of Charles and Claremond Woodard, in Batavia, NY, in 1829. The Woodards moved to Pittsfield Township in 1834, settling on 40 acres northwest of Textile and Thomas Roads. In 1836, Philo, Eliza, their three children, and his widowed mother, Sabra Johnson, also moved 
to Pittsfield Township, residing initially at Carpenter's Corner. It was here in Pittsfield Township that Sabra Johnson met Archibald Armstrong, a Revolutionary War veteran, whom she married in 1839. Archibald and Sabra also lived here until his death in 1849, from complications of a rattlesnake bite. 

Philo served Pittsfield Township in various capacities and was Township Treasurer in 1850. He died in 1853 and was buried in Harwood Cemetery. 

One quarter mile to the west, Phil Alanson Pritchard operated a blacksmith shop and lived here with his family, mother, and mother's new husband, Revolutionary War veteran Archibald Armstrong.","42° 12.927′ N, 83° 41.962′ W",N/A,N/A,,1
59,East University Avenue Campus Boundary 1837,Colonial/settler,,"This plaque marks East University Avenue, which served as the eastern boundary of the original forty acres of land deeded to the State of Michigan in 1837 by the Ann Arbor Land Company for the location of the University of Michigan.","42° 16.575′ N, 83° 44.153′ W",1996,"History and Traditions Committee, University of Michigan",,1
60,Eating and Drinking in Ann Arbor,Colonial/settler,,"When the Sugar Bowl opened in 1911, it featured homemade ice cream and hand-dipped chocolates made in the Preketes family apartment upstairs. After Michigan went “dry” in 1918, lunch counters and small restaurants like this, many owned by Greek immigrants, became a major feature downtown. In early Ann Arbor, you could have dined out at one of Ann Arbor’s hotels. By 1860 catered banquets and special celebrations were held at halls such as Hangsterfer’s, which stood on the corner behind you. In 1868 you might choose among twenty-eight saloons for a quick meal. Grocery stores often had a small saloon to accommodate thirsty customers. Five locally owned German breweries supplied beer. Boarding houses near campus served students and single diners. In 1967 the Sugar Bowl closed, replaced by the upscale La Seine restaurant. Although short-lived, it was the first of many restaurants that transformed Ann Arbor into a regional dining center.","42° 16.835′ N, 83° 44.928′ W",N/A,Ann Arbor Historical Foundation,,1
61,Engineering at Michigan 1854-2004,Colonial/settler,,"The first public university in America to award degrees in engineering, the University of Michigan was among the earliest institutions of higher education to offer programs in aeronautical engineering, chemical engineering, computer engineering, electrical engineering, metallurgical engineering, naval architecture and marine engineering, and nuclear engineering. From these early beginnings, the College of Engineering and its alumni have pioneered developments in surveying, automotive engineering, space travel, holography, information technology, microelectromechanical systems, and numerous other areas. By 2003-2004, its sesquicentennial anniversary year, Michigan Engineering comprised eleven nationally renowned academic departments, numerous interdisciplinary and international programs, 400 teaching and research faculty, 7,500 students, and more than 20 buildings, and remained a leader in engineering education and research.","42° 16.521′ N, 83° 44.169′ W",N/A,N/A,,1
62,Essential City Services,Colonial/settler,,"Fred Sipley (circled) was the police marshal before he became the first full-time fire chief in 1889. His successor as chief, Charles Edwards, stands left of the horses in this 1906 photograph. Fires from oil lamps and wood-burning stoves were a constant worry in early Ann Arbor. At the cry of ""Fire!"" everyone came running with family water pails. By 1838 the village had two volunteer fire companies, two small engine houses, and a hand-operated fire pump. 

More companies formed, with names like Eagle, Defiance, Mayflower, and Relief. Volunteers trained, cleaned equipment, and organized social activities at their engine houses. Fiercely proud of their uniforms and equipment, they delighted in parading through town. When Firemen's Hall was built in 1882, it had a large meeting room upstairs. With the gradual change to a full-time paid department, the room was converted to a dormitory.","42° 16.889′ N, 83° 44.767′ W",N/A,Ann Arbor Historical Foundation,,1
63,Everyone Loves a Parade,Colonial/settler,,"Circuses unloaded near the Michigan Central depot and paraded up Main Streeet to perform at the fairgrounds or on a farm at Packard and Stadium. Exotic animals passed by in fancy wagons, bands played, the calliope blared, and children screamed with delight. 

Some summers Ann Arbor enjoyed as many as three circuses. Barnum and Bailey was the largest. Almost anything was an excuse for a parade — holidays, new buildings, new fire equipment, visiting dignitaries, political candidates, and student celebrations of all kinds.","42° 16.69′ N, 83° 44.929′ W",N/A,Ann Arbor Historical Foundation,,1
64,First Medical Buildings 1850-1925,Colonial/settler,,"The original Medical Building was built in 1850 on the current site of Randall Laboratory, and provided the principal space for lectures, recitations, anatomical dissections, faculty offices, and laboratories from 1850 to 1903. Clinical diagnosis, treatment, and surgery were demonstrated on patients in this building until an operating room was added to University Hospital in 1879. Originally all chemistry courses were taught by a medical professor in the Chemical Laboratory (1856), located west of the Medical Building. It was the first such building at a state university. The Anatomical Laboratory (1889) was used solely for dissections until the opening of the new Medical Building (1903, now called the Dana Building), which provided a single space for preclinical instruction, medical administration, and research. In 1925 a second unit was erected east of the first, and the building names were changed to West Medical and East Medical. Departments moved from West Medical (Dana) to Medical Science Building I in 1958, and from East Medical (now called the C.C. Little Building) to Medical Science Building II in 1969.","42° 16.616′ N, 83° 44.163′ W",1999,"History and Traditions Committee, University of Michigan",,1
65,First National Building 1929,Colonial/settler,,"First National Building 
1929 
This Property Has Been 
Placed On The 
National Register 
Of Historic Places 
By The United States Department Of The Interior","42° 16.819′ N, 83° 44.905′ W",N/A,N/A,,1
66,First Presbyterian Church Cornerstone,Colonial/settler,,"This Cornerstone Is 
From The Original Church 
At Huron and Division Streets. 
That Building Was 
Demolished In 1935. 
The Cornerstone 
Was Placed Here In 
August Of 2003.","42° 16.434′ N, 83° 43.85′ W",2003,N/A,,1
67,First University Hospital 1869,Colonial/settler,,"In 1869, a professor's house (built 1840) on the central campus square was adapted for use as the University Hospital, called the Pavilion Hospital after it was enlarged in 1876. It was the first hospital in the United States owned and operated by a university. Surgical operations were performed in the upper lecture room of the Medical Building until an operating room was added to the hospital in 1879. An eye and ear ward was added in 1881, and by 1882 the hospital and nearby boarding houses were overcrowded with patients. The pavilion extensions were built of wood, so that they could be easily burned down to halt the spread of possible infections and disease. From 1886, discussion regarding transferring the clinical teaching to Detroit caused agitation among the faculty. The matter was settled in 1888 by the Regents, whose decision to keep the school entirely in Ann Arbor led to the acquisition of land near Catherine Street for a new hospital, which was completed in 1891. The Pavilion Hospital was used by the College of Dental Surgery until 1907, when it was demolished to make room for the Chemistry Building.","42° 16.71′ N, 83° 44.276′ W",1999,"History and Traditions Committee, University of Michigan",,1
68,Forest Hill,Colonial/settler,,"Forest Hill is typical of the ""rural tradition"" cemetery design which emphasizes its natural setting. This design originated in France and was first seen in Greenwood Cemetery in New York. This cemetery, as well as Highland in Ypsilanti, was designed by James Glenn, a landscape architect from Niles, Michigan. 

Forest Hill is one of the largest private cemeteries in the county, containing 98,000 graves. Benajah Ticknor's funeral was the first, held there in February 1859. 

James Morwick designed the gothic stone entrance, built by the Walker brothers of Ann Arbor. The stone house and office were added in 1874, designed and built by Gordon W. Lloyd, who also built St. Andrews Episcopal Church, the Congregational Church of Ann Arbor and the Alanzo Palmer house. The gateway bell was originally rung for funerals.","42° 16.667′ N, 83° 43.815′ W",N/A,Washtenaw County Historical District Commission,,1
69,A Former Bank and Estate on Ann Street,Colonial/settler,,"On the northeast corner of Ann St. and Fourth Ave. is the structure built in 1836 to house the short-lived Bank of Washtenaw. A stuccoed Greek Revival building, it was remodeled as a residence in 1847 for local businessman Volney Chapin, whose family lived there for almost thirty years. 

It continued to play a role in the life of Courthouse Square as it was adapted for a sequence of businesses, including the Catalpa Hotel, Joe Parker's Saloon, the Chamber of Commerce, many service and welfare organizations, the local bus station, and the Peters Hotel. 

Upper image caption: 
2 — The Chapin House surrounded by large catalpa trees and gardens, ca. 1870 

Lower image caption: 
Joe Parker's Saloon (shown in drawing at left with the bald Parker tending bar) was located in the Catalpa Hotel from 1913 to 1920. It was one of the Courthouse Square saloons earlier immortalized in the college song ""I want to go back to Michigan"" (""Back to Joe's and the Orient, Back to some of the money I spent""). 

The song was written a few years earlier, when the Orient Saloon was on North Main St. 
opposite the courthouse and Joe's was a block south. A tile mosaic with the name ""Joe"" in script can still be seen on the floor inside the former corner entrance to the saloon at Ann St. and Fourth Ave.","42° 16.936′ N, 83° 44.895′ W",N/A,Ann Arbor Historical Foundation,,1
70,Four World Records: Jesse Owens,African American/Enslaved/Freed Blacks,,"Four World Records 
Established on Ferry Field at the Big Ten track meet Ann Arbor May 25, 1935 

Broad Jump 26 ft. 8-1/4 inches. 
220 yds low hurdles 22.6 seconds. 
220 yd sprint 20.3 seconds. 
100 yd dash 9/4 seconds. 

Jesse Owens 1913 – 1980 
Design by Denis Lee","42° 16.114′ N, 83° 44.489′ W",N/A,N/A,,1
71,"From Horses to Cars: Early Autos, Service and Parts",Colonial/settler,,"By 1925, when Theophil Aprill joined with Albert Larmee to found Ann Arbor Exide Battery Service, this neighborhood was already a center for automobile sales, garages, parts, and service—much of it owned and staffed by German Americans. It was a natural transformation from carriage works, blacksmiths, and liveries. 

The first auto was offered in 1900 at Staebler's bicycle store across West Washington from here. By 1925 you could buy a Dodge at Alber's—a former livery at 206 West Huron—or, within a block, a Pontiac, Maxwell, Chrysler, Hudson, Essex, Reo, Oakland, or Franklin. Trucks, as well as cars, were sold at Ann Arbor Buick on Ashley and Huron. 

Between 1916 and 1925, Motor Products Corp. manufactured windshields in both the former Allmendinger Organ Works and the former Krause Tannery. King-Seeley took over the tannery in 1925 to produce the nation's first dash-mounted gas gauges. American Broach, manufacturing auto-machining parts, replaced Schlemmer's Fluff Rug factory next to the railroad on West Huron. 
","42° 16.85′ N, 83° 44.98′ W",N/A,Ann Arbor Historical Foundation,,1
72,From Industry to Parks,Colonial/settler,,"Alber & Co., one of the city’s earliest blacksmith and wagon shops, once stood in front of you where State Street ended at Broadway after crossing the railroad. Factories, mills, slaughterhouses, and tanneries operated nearby as well as three spring-fed breweries. The Northern Brewery on Jones Street advertised “bottled beer in cases of 2 dozen or 1 dozen bottles, quart or pint, delivered to any part of the city.” The spring was later tapped by the Arbor Springs Water Company. After the brewery closed in 1908, the building was used as a foundry for fifty years. It was renovated for offices in 1976.

In 1902 Mayor Royal Copeland complained that the area where Alber & Co., the tannery, and the slaughterhouses had been was a serious problem. Visitors arriving at the railroad depot were confronted by “foul-smelling dump heaps” across the tracks. Copeland appointed a committee to purchase the property between the river and the railroad tracks that later became Broadway Park. By 1907 the city had acquired the land, but it remained overgrown and was long known as “Hobo Park” for the homeless people who camped therIt was often used as a shortcut from Lower Town to State Street. The park was transformed when the bridges were rebuilt in 2005.

It took the Parks Commission, led by its Superintendent Eli Gallup, from 1925 to 1934 to buy up a maze of small workshops and garbage dumps that had replaced the slaughterhouses on the opposite bank of the river (above). Gallup built Riverside park there using workers from the federal WPA jobs program.","42° 17.312′ N, 83° 44.422′ W",N/A,N/A,,1
73,From Interurbans to Buses,Colonial/settler,,"In 1929 long-distance buses replaced the electric interurban for travel between Ann Arbor and other cities. The first interurban in the state had linked Ann Arbor and Ypsilanti in 1891. Junius Beal, UM Regent and one of the main stockholders, explained that it was greatly helped by the fact that ""Ann Arbor had 3,000 boys and not enough girls; Ypsilanti had 1,000 girls at the Normal College [now EMU] and not enough boys."" Interurbans ran east on Parkard to Detroit and west on Huron to Jackson every half hour or hour. 

The era of the interurban ended due to competition from buses, autos, and trucks. Interstate buses use the old interurban station until it was demolished in 1939 and a modern bus depot built in 1940","42° 16.895′ N, 83° 44.965′ W",N/A,Ann Arbor Historical Foundation,,1
74,From Liveries to Taxis,Colonial/settler,,"Walker's, opened in 1907, was one of the city's largest liveries, with more than thirty horses and a wide variety of buggies, wagons, and sleighs for rent. Adelbert Walker lived next door and took great pride in his two teams of white Arabian horses used for funerals. At that time most Ann Arborites walked to stores, school, and work or paid 5 cents to ride the streetcars. 

In 1914 Walker auctioned off his horses and equipment and joined the trend to automobiles. Like liveries, taxis met passengers at the depot and transported baggage, now at the speed of up to fifteen miles per hour. By 1921 one could go by cab to the Michigan Union, Hill Auditorium, or anywhere in town for only 25 cents. Walker's closed in 1946.","42° 16.759′ N, 83° 44.535′ W",N/A,Ann Arbor Historical Foundation,,1
